Id,ActivityTypeOrg,ActivityType,Executable,DisplayText,ContentInfo,Payload,ClipboardPayload,StartTime,EndTime,Duration,LastModifiedTime,LastModifiedOnClient,OriginalLastModifiedOnClient,ExpirationTime,CreatedInCloud,IsLocalOnly,ETag,PackageIdHash,PlatformDeviceId,DevicePlatform,TimeZone
f62193d3-803c-0638-dfe9-bec94d3c2579,11,11,microsoft.default.default,,,(Binary data),,2025-06-03 12:44:14,,,2025-06-03 12:44:14,2025-06-03 12:44:14,,2032-06-01 12:44:14,,True,1,ZZzI03ZhPBD1Dfj2GvrCeHMuMjZ9FnVlYIDK+kZzTu0=,yKkaAqUvs/IS/KZSmJJ1jiAcGNCQ7e/O3LIeT2rt58c=,,
46f5c3fc-93c8-c9ed-bdfc-2bf66b7e4933,16,CopyPaste,System\WindowsPowerShell\v1.0\PowerShell_ISE.exe,,,"{""gdprType"":""ProductAndServiceUsage"",""clipboardDataId"":""{F1A61B7C-0FC1-480D-AAA0-D664D16B990D}""}",,2025-06-04 11:24:01,2025-06-04 11:24:01,,2025-06-04 12:40:08,2025-06-04 12:32:30,,2025-06-11 12:40:09,2025-06-04 12:40:08,False,107,IhVebRjNCxqxZfl1YervcNteO5rXFdAFelP6mqwmDlY=,yKkaAqUvs/IS/KZSmJJ1jiAcGNCQ7e/O3LIeT2rt58c=,,
adc4a4f0-2b06-5e20-3cc9-3575aaf45ef5,16,CopyPaste,System\WindowsPowerShell\v1.0\PowerShell_ISE.exe,,,"{""gdprType"":""ProductAndServiceUsage"",""clipboardDataId"":""{33EE9F47-C586-4D87-A4D0-25CF335A8445}""}",,2025-06-04 11:24:05,2025-06-04 11:24:05,,2025-06-04 12:40:08,2025-06-04 12:32:30,,2025-06-11 12:40:09,2025-06-04 12:40:08,False,108,IhVebRjNCxqxZfl1YervcNteO5rXFdAFelP6mqwmDlY=,yKkaAqUvs/IS/KZSmJJ1jiAcGNCQ7e/O3LIeT2rt58c=,,
7e43b2f2-61a0-df50-305f-ef973a0121c2,16,CopyPaste,System\WindowsPowerShell\v1.0\PowerShell_ISE.exe,,,"{""gdprType"":""ProductAndServiceUsage"",""clipboardDataId"":""{9A20AF8F-DF28-4CA6-B624-B0E097EF8A11}""}",,2025-06-04 11:24:08,2025-06-04 11:24:08,,2025-06-04 12:40:08,2025-06-04 12:32:30,,2025-06-11 12:40:09,2025-06-04 12:40:08,False,109,IhVebRjNCxqxZfl1YervcNteO5rXFdAFelP6mqwmDlY=,yKkaAqUvs/IS/KZSmJJ1jiAcGNCQ7e/O3LIeT2rt58c=,,
e14b360d-d933-e3c6-950f-b7f85d263c99,16,CopyPaste,System\WindowsPowerShell\v1.0\PowerShell_ISE.exe,,,"{""gdprType"":""ProductAndServiceUsage"",""clipboardDataId"":""{2A0EF0B6-47C5-4834-A7A6-19EB2C9918F6}""}",,2025-06-04 11:24:15,2025-06-04 11:24:15,,2025-06-04 12:40:08,2025-06-04 12:32:30,,2025-06-11 12:40:09,2025-06-04 12:40:08,False,110,IhVebRjNCxqxZfl1YervcNteO5rXFdAFelP6mqwmDlY=,yKkaAqUvs/IS/KZSmJJ1jiAcGNCQ7e/O3LIeT2rt58c=,,
f57f8009-1308-c274-5e48-339f04e904de,16,CopyPaste,System\WindowsPowerShell\v1.0\PowerShell_ISE.exe,,,"{""gdprType"":""ProductAndServiceUsage"",""clipboardDataId"":""{C81AC817-6906-4BF6-AA99-83519AF034EB}""}",,2025-06-04 11:24:18,2025-06-04 11:24:18,,2025-06-04 12:40:08,2025-06-04 12:32:30,,2025-06-11 12:40:09,2025-06-04 12:40:08,False,111,IhVebRjNCxqxZfl1YervcNteO5rXFdAFelP6mqwmDlY=,yKkaAqUvs/IS/KZSmJJ1jiAcGNCQ7e/O3LIeT2rt58c=,,
88419722-b307-a8fb-dd9f-91f08c214b1b,16,CopyPaste,System\WindowsPowerShell\v1.0\PowerShell_ISE.exe,,,"{""gdprType"":""ProductAndServiceUsage"",""clipboardDataId"":""{20392A9B-2CA4-46FA-ADA3-4815065E745E}""}",,2025-06-04 11:24:21,2025-06-04 11:24:21,,2025-06-04 12:40:08,2025-06-04 12:32:30,,2025-06-11 12:40:09,2025-06-04 12:40:08,False,112,IhVebRjNCxqxZfl1YervcNteO5rXFdAFelP6mqwmDlY=,yKkaAqUvs/IS/KZSmJJ1jiAcGNCQ7e/O3LIeT2rt58c=,,
c0d326a8-ca79-fb15-33cb-5e92ae1a3cf5,16,CopyPaste,System\WindowsPowerShell\v1.0\powershell.exe,,,"{""gdprType"":""ProductAndServiceUsage"",""clipboardDataId"":""{657F5091-E573-4101-82BB-B01273D409E4}""}",,2025-06-04 11:29:09,2025-06-04 11:29:09,,2025-06-04 12:40:08,2025-06-04 12:32:30,,2025-06-11 12:40:09,2025-06-04 12:40:08,False,113,8FtN2QLq/vbNHRV/cyvZHkkLsWIf+oNWAn/N4ZnjaSc=,yKkaAqUvs/IS/KZSmJJ1jiAcGNCQ7e/O3LIeT2rt58c=,,
9e016b04-37b0-7d1e-95c6-63f7248382f6,16,CopyPaste,System\WindowsPowerShell\v1.0\powershell.exe,,,"{""gdprType"":""ProductAndServiceUsage"",""clipboardDataId"":""{0A4EB33D-5C43-48C0-B631-B562B0A3BCE2}""}",,2025-06-04 11:29:15,2025-06-04 11:29:15,,2025-06-04 12:40:08,2025-06-04 12:32:30,,2025-06-11 12:40:09,2025-06-04 12:40:08,False,114,8FtN2QLq/vbNHRV/cyvZHkkLsWIf+oNWAn/N4ZnjaSc=,yKkaAqUvs/IS/KZSmJJ1jiAcGNCQ7e/O3LIeT2rt58c=,,
250a1850-52e9-c9a8-c34b-4921117458b1,16,CopyPaste,System\WindowsPowerShell\v1.0\powershell.exe,,,"{""gdprType"":""ProductAndServiceUsage"",""clipboardDataId"":""{96D8F9E6-7966-4009-A0CC-1589D00A69C7}""}",,2025-06-04 11:29:18,2025-06-04 11:29:18,,2025-06-04 12:40:08,2025-06-04 12:32:30,,2025-06-11 12:40:09,2025-06-04 12:40:08,False,115,8FtN2QLq/vbNHRV/cyvZHkkLsWIf+oNWAn/N4ZnjaSc=,yKkaAqUvs/IS/KZSmJJ1jiAcGNCQ7e/O3LIeT2rt58c=,,
