Id,Platform,Name,AdditionalInformation,Expires
f62193d3-803c-0638-dfe9-bec94d3c2579,data_boundary,microsoft.default.default,,2032-06-01 12:44:14
f62193d3-803c-0638-dfe9-bec94d3c2579,host,,,2032-06-01 12:44:14
55ca5fe2-4c50-79d1-a4e8-8787a8ea3990,Win32,msedge,,2025-07-04 12:32:30
55ca5fe2-4c50-79d1-a4e8-8787a8ea3990,packageid,msedge,,2025-07-04 12:32:30
55ca5fe2-4c50-79d1-a4e8-8787a8ea3990,host,,,2025-07-04 12:32:30
87fd8f42-5e97-7b4e-0ceb-390bb143d803,Win32,microsoft.windows.explorer,,2025-07-04 12:32:30
87fd8f42-5e97-7b4e-0ceb-390bb143d803,packageid,microsoft.windows.explorer,,2025-07-04 12:32:30
87fd8f42-5e97-7b4e-0ceb-390bb143d803,host,,,2025-07-04 12:32:30
0a638179-a05f-ee16-a9bc-2975763f7405,ExecutablePath,d:\setup64.exe,,2025-07-04 12:32:30
0a638179-a05f-ee16-a9bc-2975763f7405,packageid,d:\setup64.exe,,2025-07-04 12:32:30
0a638179-a05f-ee16-a9bc-2975763f7405,host,,,2025-07-04 12:32:30
bbd21b0d-161d-e2a2-103c-4e621426ff95,ExecutablePath,d:\setup64.exe,,2025-07-04 12:32:30
bbd21b0d-161d-e2a2-103c-4e621426ff95,packageid,d:\setup64.exe,,2025-07-04 12:32:30
bbd21b0d-161d-e2a2-103c-4e621426ff95,host,,,2025-07-04 12:32:30
0e6da2bc-61ef-08ae-7ef2-e28d2d8b886a,Win32,microsoft.windows.explorer,,2025-07-04 12:32:30
0e6da2bc-61ef-08ae-7ef2-e28d2d8b886a,packageid,microsoft.windows.explorer,,2025-07-04 12:32:30
0e6da2bc-61ef-08ae-7ef2-e28d2d8b886a,host,,,2025-07-04 12:32:30
1c5ffbc7-48e9-36af-14a4-91a3e81bebec,ExecutablePath,microsoft.windows.windowsinstaller,,2025-07-04 12:32:30
1c5ffbc7-48e9-36af-14a4-91a3e81bebec,packageid,microsoft.windows.windowsinstaller,,2025-07-04 12:32:30
1c5ffbc7-48e9-36af-14a4-91a3e81bebec,host,,,2025-07-04 12:32:30
3e8b8a09-f007-c5e1-1770-e99a70dd053c,ExecutablePath,d:\setup64.exe,,2025-07-04 12:32:30
3e8b8a09-f007-c5e1-1770-e99a70dd053c,packageid,d:\setup64.exe,,2025-07-04 12:32:30
3e8b8a09-f007-c5e1-1770-e99a70dd053c,host,,,2025-07-04 12:32:30
6fea07eb-3f97-4659-91cf-83484b9a722e,ExecutablePath,d:\setup64.exe,,2025-07-04 12:32:30
6fea07eb-3f97-4659-91cf-83484b9a722e,packageid,d:\setup64.exe,,2025-07-04 12:32:30
6fea07eb-3f97-4659-91cf-83484b9a722e,host,,,2025-07-04 12:32:30
0e0b2dfe-724a-569c-fbb4-57ba39ea72a3,Win32,microsoft.autogenerated.{923dd477-5846-686b-a659-0fccd73851a8},,2025-07-04 12:32:30
0e0b2dfe-724a-569c-fbb4-57ba39ea72a3,packageid,microsoft.autogenerated.{923dd477-5846-686b-a659-0fccd73851a8},,2025-07-04 12:32:30
0e0b2dfe-724a-569c-fbb4-57ba39ea72a3,host,,,2025-07-04 12:32:30
8493f19b-557d-1fb3-798c-7ca20b2304a9,Win32,microsoft.autogenerated.{923dd477-5846-686b-a659-0fccd73851a8},,2025-07-04 12:32:30
8493f19b-557d-1fb3-798c-7ca20b2304a9,packageid,microsoft.autogenerated.{923dd477-5846-686b-a659-0fccd73851a8},,2025-07-04 12:32:30
8493f19b-557d-1fb3-798c-7ca20b2304a9,host,,,2025-07-04 12:32:30
e0f8e672-3cb5-2930-07d7-204a529fb536,Win32,microsoft.windows.explorer,,2025-07-04 12:32:30
e0f8e672-3cb5-2930-07d7-204a529fb536,packageid,microsoft.windows.explorer,,2025-07-04 12:32:30
e0f8e672-3cb5-2930-07d7-204a529fb536,host,,,2025-07-04 12:32:30
e345c7cb-96b0-b0a0-0de3-a2e7d8255673,windows_universal,microsoft.549981c3f5f10_8wekyb3d8bbwe,,2025-07-04 12:32:30
e345c7cb-96b0-b0a0-0de3-a2e7d8255673,packageid,microsoft.549981c3f5f10_8wekyb3d8bbwe!app,,2025-07-04 12:32:30
e345c7cb-96b0-b0a0-0de3-a2e7d8255673,host,,,2025-07-04 12:32:30
6b07107a-6811-7389-f1f0-2220e625d777,windows_universal,windows.immersivecontrolpanel_cw5n1h2txyewy,,2025-07-04 12:32:30
6b07107a-6811-7389-f1f0-2220e625d777,packageid,windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel,,2025-07-04 12:32:30
6b07107a-6811-7389-f1f0-2220e625d777,host,,,2025-07-04 12:32:30
6b07abb4-7c23-e150-92a0-6df37769eae8,windows_universal,windows.immersivecontrolpanel_cw5n1h2txyewy,,2025-07-04 12:32:30
6b07abb4-7c23-e150-92a0-6df37769eae8,packageid,windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel,,2025-07-04 12:32:30
6b07abb4-7c23-e150-92a0-6df37769eae8,host,,,2025-07-04 12:32:30
